"INTERPRO2GO","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR010114 DNA-binding transcriptional regulator NtrC;",3,4,1,1,4,10,3,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR010206 Poly(A) polymerase I;",1,NA,1,1,1,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR011387 Translation initiation factor 2A;",2,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR011773 DNA-directed RNA polymerase, alpha subunit;",1,3,1,1,1,NA,3,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR011791 Cd(II)/Pb(II)-responsive transcriptional regulator;",3,NA,1,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR011907 Ribonuclease III;",1,NA,3,3,1,1,2,4,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012006 tRNA nucleotidyltransferase, proteobacteria;",1,NA,1,1,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012156 Cold shock, CspA;",3,4,1,2,1,1,2,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012754 DNA-directed RNA polymerase, subunit beta-prime;",1,NA,NA,3,1,1,7,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012756 DNA-directed RNA polymerase, subunit beta'';",2,3,1,NA,2,1,NA,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR013742 Whirly transcription factor;",1,3,NA,1,NA,NA,1,NA,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR013765 DNA recombination and repair protein RecA;",1,2,2,2,3,3,3,5,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR019307 RNA-binding protein AU-1/Ribonuclease E/G;",1,1,NA,1,5,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR019888 Transcription regulator AsnC-type;",3,NA,4,10,5,7,10,1,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR024193 Ku80;",1,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR024627 V(D)J recombination-activating protein 1;",3,2,1,1,4,5,1,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR025708 Heat shock protein 15;",2,NA,NA,NA,1,3,3,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR039241 Ribosomal RNA-processing protein Rrp9-like;",1,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR039764 RNA binding protein HABP4/SERBP1;",1,NA,NA,3,1,1,2,3,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR040366 Nuclear polyadenylated RNA-binding protein Nab2/ZC3H14;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR001699 Transcription factor, T-box;",1,NA,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR002481 Ferric-uptake regulator;",5,NA,1,2,2,3,4,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR011791 Cd(II)/Pb(II)-responsive transcriptional regulator;",3,NA,1,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR017392 AP2/ERF transcription factor ERF/PTI6;",2,NA,2,NA,NA,NA,1,1,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR019888 Transcription regulator AsnC-type;",3,NA,4,10,5,7,10,1,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR020449 Transcription regulator HTH, AraC- type;",6,8,6,11,9,13,18,14,10
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR040167 Transcription factor CP2-like;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000206 Ribosomal protein L7/L12;",1,NA,NA,1,NA,NA,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000244 Ribosomal protein L9;IPR020594 Ribosomal protein L9, bacteria/chloroplast;",3,NA,NA,2,1,1,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000266 Ribosomal protein S17/S11;IPR019984 30S ribosomal protein S17;",1,NA,NA,NA,NA,1,3,4,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000271 Ribosomal protein L34;",1,NA,NA,NA,1,NA,1,1,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000456 Ribosomal protein L17;",1,NA,NA,2,2,NA,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000529 Ribosomal protein S6;IPR020814 Ribosomal protein S6, plastid/chloroplast;",1,NA,1,NA,NA,NA,1,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000589 Ribosomal protein S15;IPR023029 Ribosomal protein S15P;",1,NA,2,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000630 Ribosomal protein S8;",2,2,NA,1,NA,NA,1,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000702 Ribosomal protein L6;IPR019906 Ribosomal protein L6, bacterial-type;",1,NA,1,1,1,1,NA,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000851 Ribosomal protein S5;IPR005711 Ribosomal protein S5, eukaryotic/archaeal;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000851 Ribosomal protein S5;IPR005712 Ribosomal protein S5, bacterial-type;",1,NA,1,1,2,NA,3,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000911 Ribosomal protein L11/L12;IPR006519 Ribosomal protein L11, bacterial-type;",1,1,NA,2,2,1,2,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001209 Ribosomal protein S14;IPR023036 Ribosomal protein S14, bacterial/plastid;",1,3,NA,1,NA,3,2,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001209 Ribosomal protein S14;IPR039744 40S ribosomal protein S29/30S ribosomal protein S14 type Z;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001593 Ribosomal protein S3Ae;IPR027500 40S ribosomal protein S1/3, eukaryotes;",1,NA,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001648 Ribosomal protein S18;",1,2,3,1,NA,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001848 Ribosomal protein S10;",1,NA,NA,1,NA,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001857 Ribosomal protein L19;",1,1,2,1,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001865 Ribosomal protein S2;IPR005706 Ribosomal protein S2, bacteria/mitochondria/plastid;",1,3,2,1,3,NA,3,4,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001892 Ribosomal protein S13;",1,1,2,NA,1,NA,NA,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001911 Ribosomal protein S21;",1,1,NA,NA,NA,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001976 Ribosomal protein S24e;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR002150 Ribosomal protein L31;",1,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR002674 Ribosomal protein L37ae;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR002677 Ribosomal protein L32p;",1,1,2,2,NA,1,2,6,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR003256 Ribosomal protein L24;",1,NA,2,1,4,2,2,1,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR005485 Ribosomal protein L5 eukaryotic/L18 archaeal;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR005703 Ribosomal protein S3, eukaryotic/archaeal;",1,NA,NA,NA,NA,2,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR005704 Ribosomal protein S3, bacterial-type;",3,1,2,1,4,4,7,NA,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR013025 Ribosomal protein L25/L23;",2,NA,NA,NA,1,3,NA,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR021137 Ribosomal protein L35;",1,NA,1,NA,1,2,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0004803 transposase activity;IPR001207 Transposase, mutator type;",1,1,NA,NA,2,1,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0004803 transposase activity;IPR002514 Transposase IS3/IS911family;",2,3,3,5,4,2,4,8,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0004803 transposase activity;IPR003346 Transposase, IS116/IS110/IS902;",1,1,1,4,3,1,6,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR000516 Nickel-dependent hydrogenase b-type cytochrome subunit;",23,20,1,3,NA,42,13,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR000883 Cytochrome c oxidase subunit I;",118,170,115,82,103,173,123,113,80
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR000883 Cytochrome c oxidase subunit I;IPR014241 Cytochrome c oxidase, subunit I bacterial type;",1,2,1,3,3,3,NA,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR001055 Adrenodoxin;",1,NA,NA,4,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR001055 Adrenodoxin;IPR011536 Ferredoxin 2Fe-2S type, proteobacteria;",1,NA,1,1,2,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR001080 3Fe-4S ferredoxin;",1,NA,NA,NA,NA,NA,1,4,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR001100 Pyridine nucleotide-disulphide oxidoreductase, class I;IPR006258 Dihydrolipoamide dehydrogenase;",3,4,3,2,5,2,7,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR002325 Cytochrome f;",1,3,1,NA,3,NA,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR002326 Cytochrome c1;",3,NA,NA,1,1,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR002327 Cytochrome c, class IA/ IB;",1,NA,1,2,NA,2,1,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR002585 Cytochrome ubiquinol oxidase subunit 1;",7,4,4,4,2,1,5,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR007763 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12;",1,NA,NA,NA,1,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR012255 Electron transfer flavoprotein, beta subunit;",1,1,2,4,1,1,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR024167 Cytochrome c4-like;",1,NA,NA,NA,3,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR030689 Cytochrome b;",24,94,53,79,37,76,39,48,51
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR040156 Electron transfer flavoprotein-ubiquinone oxidoreductase;",1,NA,3,1,NA,2,1,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR000269 Copper amine oxidase;",3,NA,NA,3,1,NA,2,1,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR000392 NifH/frxC family;",3,1,NA,5,2,2,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR000440 NADH:ubiquinone/plastoquinone oxidoreductase, chain 3;",4,1,5,2,3,NA,3,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR000440 NADH:ubiquinone/plastoquinone oxidoreductase, chain 3;IPR023043 NAD(P)H-quinone oxidoreductase subunit 3, bacterial/plastid;",1,3,NA,NA,1,1,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR000447 FAD-dependent glycerol-3-phosphate dehydrogenase;",1,2,3,1,3,NA,4,4,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR000701 Succinate dehydrogenase/fumarate reductase type B, transmembrane subunit;IPR014312 Succinate dehydrogenase, hydrophobic membrane anchor;",1,NA,2,4,1,2,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001100 Pyridine nucleotide-disulphide oxidoreductase, class I;IPR006258 Dihydrolipoamide dehydrogenase;",3,4,3,2,5,2,7,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001128 Cytochrome P450;",6,16,8,7,6,11,6,8,8
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001128 Cytochrome P450;IPR002397 Cytochrome P450, B-class;",2,1,4,4,5,3,10,8,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001128 Cytochrome P450;IPR002401 Cytochrome P450, E-class, group I;",13,21,10,11,15,17,20,11,16
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001128 Cytochrome P450;IPR002402 Cytochrome P450, E-class, group II;IPR002974 Cytochrome P450, E-class, CYP52;",1,NA,NA,NA,NA,1,NA,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001128 Cytochrome P450;IPR002403 Cytochrome P450, E-class, group IV;",2,2,NA,2,4,2,2,1,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001189 Manganese/iron superoxide dismutase;",1,3,NA,NA,3,1,5,3,4
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001260 Coproporphyrinogen III oxidase, aerobic;",4,4,6,2,5,4,5,2,5
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001269 tRNA-dihydrouridine synthase;",1,NA,NA,NA,1,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001457 NADH:ubiquinone/plastoquinone oxidoreductase, chain 6;",4,13,6,8,5,4,10,9,12
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001557 L-lactate/malate dehydrogenase;IPR010097 Malate dehydrogenase, type 1;IPR023958 Malate dehydrogenase, type 1, bacterial;",5,11,12,3,8,7,4,4,4
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001891 Malic oxidoreductase;",1,1,1,1,6,1,5,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR002023 NADH-quinone oxidoreductase subunit E-like;",2,1,NA,1,NA,2,1,4,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003170 UDP-N-acetylenolpyruvoylglucosamine reductase;",7,10,9,1,4,4,NA,3,4
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003171 Methylenetetrahydrofolate reductase;",1,NA,NA,1,1,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003171 Methylenetetrahydrofolate reductase;IPR004620 5,10-methylenetetrahydrofolate reductase;",1,1,NA,1,1,NA,NA,NA,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003451 4-hydroxy-3-methylbut-2-enyl diphosphate reductase;",1,1,1,1,1,2,4,5,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003780 COX15/CtaA family;IPR023754 Heme A synthase, type 2;",1,NA,NA,NA,1,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003821 1-deoxy-D-xylulose 5-phosphate reductoisomerase;",1,2,NA,1,NA,3,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003917 NADH:ubiquinone oxidoreductase, chain 2;",8,21,12,15,15,15,19,7,12
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003918 NADH:ubiquinone oxidoreductase;",1,5,5,2,2,10,5,NA,5
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003918 NADH:ubiquinone oxidoreductase;IPR010227 NADH-quinone oxidoreductase, chain M/4;",1,6,1,1,NA,5,4,4,4
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003945 NADH-plastoquinone oxidoreductase, chain 5;",12,19,7,18,2,12,15,3,11
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003945 NADH-plastoquinone oxidoreductase, chain 5;IPR018393 NADH-plastoquinone oxidoreductase, chain 5 subgroup;",3,9,3,6,3,5,4,6,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR004429 Isopropylmalate dehydrogenase;",2,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR004434 Isocitrate dehydrogenase NAD-dependent;",1,1,NA,NA,1,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR004453 Epoxyqueuosine reductase QueG;",1,2,NA,NA,NA,1,2,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR004511 Phosphoadenosine phosphosulphate/adenosine 5'-phosphosulphate reductase;IPR011800 Phosphoadenosine phosphosulphate reductase CysH;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR004588 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type;IPR016425 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial;",1,NA,NA,2,NA,NA,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR004660 Pyruvate dehydrogenase E1 component;",1,NA,6,1,4,2,2,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR005746 Thioredoxin;",2,4,1,2,4,1,4,2,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR005956 4-hydroxyphenylpyruvate dioxygenase;",1,NA,NA,NA,1,NA,1,1,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR005982 Thioredoxin reductase;",6,2,4,3,4,2,3,5,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR006005 Glutamate synthase, NADH/NADPH, small subunit 1;",1,1,NA,2,1,2,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR006138 NADH-ubiquinone oxidoreductase, 20 Kd subunit;",3,2,1,1,NA,1,1,2,3
